Repeat,Season,PopulationSize,HaveBorn,AverageIC,SD
1,0,8,8,0,0
1,1,6,9,0,0
1,2,6,10,0,0
1,3,8,12,0,0
1,4,8,12,0,0
1,5,7,13,0,0
1,6,8,16,0,0
1,7,9,17,0,0
1,8,13,22,0.0277778,0.0833333
1,9,18,28,0.0576923,0.109632
1,10,19,31,0.0882353,0.123148
1,11,26,38,0.0921053,0.123899
1,12,28,44,0.114583,0.121788
1,13,30,49,0.125,0.120096
1,14,39,63,0.125,0.120453
1,15,44,75,0.148438,0.114363
1,16,48,91,0.165799,0.10717
1,17,58,108,0.164418,0.107331
1,18,70,122,0.182478,0.106688
1,19,78,140,0.195429,0.106126
1,20,94,167,0.212863,0.0996643
1,21,105,188,0.229159,0.0888222
1,22,127,224,0.227769,0.0842388
1,23,166,283,0.230872,0.0785017
1,24,186,324,0.231439,0.0721791
1,25,217,376,0.235076,0.0678137
1,26,273,454,0.234125,0.0631764
1,27,322,531,0.235711,0.0581817
1,28,405,645,0.235162,0.0523471
1,29,507,791,0.236269,0.0497792
1,30,601,944,0.238889,0.0477063
1,31,714,1138,0.239785,0.0475461
1,32,865,1375,0.239818,0.0440728
1,33,1032,1635,0.241601,0.0423285
1,34,1255,2001,0.242705,0.0416396
1,35,1503,2436,0.243886,0.0389559
1,36,1798,2927,0.245322,0.0379735
1,37,2194,3534,0.247124,0.0367889
1,38,2621,4253,0.247949,0.0343217
1,39,3135,5098,0.248483,0.032506
1,40,3760,6081,0.248539,0.0308684
1,41,4525,7328,0.248931,0.0290654
1,42,5358,8745,0.249304,0.0277822
1,43,6520,10563,0.249355,0.0257279
1,44,7807,12733,0.249541,0.0241576
1,45,9492,15424,0.249682,0.022673
2,0,6,9,0,0
2,1,8,12,0,0
2,2,10,15,0,0
2,3,14,20,0.05,0.105409
2,4,14,21,0.0961538,0.126592
2,5,16,25,0.107143,0.128388
2,6,21,32,0.0714286,0.117202
2,7,24,37,0.13125,0.154297
2,8,35,51,0.127604,0.147993
2,9,44,62,0.111742,0.146373
2,10,46,68,0.123476,0.154672
2,11,57,83,0.131392,0.150638
2,12,70,101,0.127841,0.138228
2,13,82,120,0.140165,0.129072
2,14,113,162,0.138889,0.125973
2,15,131,189,0.150391,0.119805
2,16,174,256,0.154851,0.115233
2,17,203,303,0.15681,0.106743
2,18,250,377,0.161983,0.100544
2,19,301,459,0.164167,0.0973248
2,20,369,565,0.163542,0.0914111
2,21,438,691,0.160078,0.0850493
2,22,521,821,0.160165,0.0794335
2,23,632,1003,0.162054,0.0773176
2,24,749,1214,0.161936,0.072092
2,25,921,1464,0.162787,0.0667639
2,26,1120,1781,0.165627,0.061305
2,27,1332,2150,0.167726,0.0575434
2,28,1634,2639,0.168519,0.0545008
2,29,1998,3210,0.169173,0.0488862
2,30,2454,3924,0.170998,0.0459916
2,31,3032,4804,0.171271,0.0430026
2,32,3654,5832,0.172164,0.0396194
2,33,4507,7154,0.172898,0.0374904
2,34,5530,8753,0.173573,0.0344403
2,35,6702,10615,0.173671,0.0311971
2,36,8220,12984,0.174012,0.0289955
2,37,10062,15875,0.174557,0.0269602
3,0,6,7,0,0
3,1,6,8,0,0
3,2,7,9,0,0
3,3,11,13,0,0
3,4,11,13,0,0
3,5,13,15,0,0
3,6,14,16,0.0192308,0.0469417
3,7,18,21,0.0192308,0.0469417
3,8,19,22,0.0138889,0.0404226
3,9,23,28,0.00694444,0.0294628
3,10,24,31,0.0482955,0.0943568
3,11,28,39,0.0679348,0.10811
3,12,37,51,0.0961538,0.124976
3,13,40,56,0.10625,0.124355
3,14,54,76,0.116406,0.120094
3,15,57,87,0.143495,0.119153
3,16,69,107,0.148996,0.114004
3,17,77,121,0.162547,0.110152
3,18,88,143,0.173195,0.105405
3,19,104,168,0.176103,0.0993532
3,20,119,200,0.179688,0.0953954
3,21,129,223,0.191087,0.0873991
3,22,154,261,0.193084,0.083911
3,23,182,317,0.196879,0.0780046
3,24,205,362,0.207166,0.0713965
3,25,241,427,0.208831,0.0727371
3,26,277,487,0.213354,0.074265
3,27,355,595,0.215942,0.07082
3,28,407,708,0.220962,0.0647245
3,29,483,829,0.221688,0.0626423
3,30,582,979,0.221153,0.0593366
3,31,727,1205,0.221762,0.0569698
3,32,879,1440,0.220398,0.0540099
3,33,1072,1765,0.219194,0.0515257
3,34,1291,2118,0.219974,0.0488495
3,35,1563,2574,0.219949,0.046189
3,36,1905,3100,0.22024,0.0439426
3,37,2290,3735,0.22033,0.0420811
3,38,2821,4529,0.220768,0.0397687
3,39,3416,5516,0.221102,0.0373552
3,40,4153,6683,0.221285,0.0354112
3,41,5052,8092,0.221974,0.0339214
3,42,6144,9820,0.222267,0.0321414
3,43,7501,11959,0.222742,0.0306792
3,44,9045,14475,0.222956,0.0287149
4,0,9,10,0,0
4,1,9,10,0,0
4,2,9,10,0,0
4,3,13,14,0,0
4,4,15,19,0,0
4,5,15,21,0,0
4,6,13,22,0,0
4,7,18,29,0,0
4,8,19,31,0.0138889,0.0404226
4,9,26,38,0.0131579,0.0394127
4,10,30,47,0.035,0.0543666
4,11,35,56,0.0393519,0.0604176
4,12,43,66,0.0530303,0.0627363
4,13,50,77,0.0773628,0.0721083
4,14,67,102,0.0903125,0.0827574
4,15,87,132,0.108582,0.0882792
4,16,98,153,0.114901,0.086451
4,17,127,187,0.120662,0.0823454
4,18,151,224,0.129883,0.0837055
4,19,186,290,0.130606,0.0788017
4,20,224,351,0.138435,0.0719979
4,21,263,411,0.14825,0.0679043
4,22,336,522,0.15159,0.0631903
4,23,420,642,0.162486,0.0649865
4,24,485,769,0.170942,0.0623504
4,25,606,956,0.176219,0.0612628
4,26,763,1181,0.180319,0.058787
4,27,947,1468,0.181247,0.0528265
4,28,1136,1779,0.184275,0.0516698
4,29,1339,2140,0.1847,0.0479348
4,30,1622,2586,0.185553,0.0451962
4,31,1962,3138,0.185502,0.0410588
4,32,2421,3833,0.185814,0.0379851
4,33,2944,4676,0.186338,0.0355846
4,34,3555,5663,0.186689,0.0332822
4,35,4367,6945,0.186733,0.0301494
4,36,5294,8419,0.187197,0.0279913
4,37,6430,10209,0.187689,0.0258247
4,38,7732,12356,0.187968,0.025057
4,39,9438,15042,0.187914,0.0232674
5,0,6,7,0,0
5,1,8,9,0,0
5,2,11,13,0,0
5,3,12,16,0.025,0.0790569
5,4,12,17,0.0227273,0.0753778
5,5,14,20,0.0416667,0.0973124
5,6,18,26,0.0576923,0.109632
5,7,21,30,0.111111,0.127827
5,8,27,39,0.111842,0.117073
5,9,28,44,0.145833,0.114604
5,10,27,46,0.161058,0.10922
5,11,32,52,0.159722,0.107324
5,12,45,68,0.180208,0.0955937
5,13,55,80,0.193403,0.0820254
5,14,66,97,0.196429,0.0793523
5,15,81,117,0.214286,0.0807121
5,16,104,146,0.232722,0.0824746
5,17,132,182,0.236934,0.0805623
5,18,149,212,0.254031,0.0812481
5,19,177,263,0.258761,0.0799052
5,20,204,315,0.26752,0.0794642
5,21,249,381,0.26837,0.0760962
5,22,315,480,0.269202,0.0713983
5,23,380,566,0.269463,0.0657279
5,24,467,690,0.271002,0.0616111
5,25,557,830,0.271995,0.0584136
5,26,690,1033,0.272953,0.0537918
5,27,834,1261,0.273518,0.0509123
5,28,1037,1564,0.273854,0.0478776
5,29,1256,1908,0.273758,0.0442043
5,30,1506,2293,0.274143,0.0412858
5,31,1807,2755,0.275076,0.0395628
5,32,2198,3374,0.276036,0.0382607
5,33,2653,4091,0.277123,0.0363521
5,34,3217,4982,0.27719,0.0340948
5,35,3893,6101,0.277111,0.0320017
5,36,4733,7425,0.277013,0.0293229
5,37,5714,8970,0.277104,0.0272164
5,38,6890,10900,0.27696,0.0249529
5,39,8266,13140,0.277139,0.0236406
5,40,9899,15754,0.277076,0.0217081
6,0,4,7,0,-nan(ind)
6,1,3,7,0,0
6,2,3,7,0,0
6,3,4,8,0,0
6,4,4,8,0.0625,0.125
6,5,7,11,0.0625,0.125
6,6,12,16,0.142857,0.133631
6,7,12,18,0.136364,0.130558
6,8,16,24,0.145833,0.128732
6,9,18,28,0.144531,0.117966
6,10,24,34,0.138889,0.116544
6,11,24,38,0.138494,0.109989
6,12,27,46,0.147017,0.105937
